@relation state

@attribute timestamp DATE "MM-yyyy"
@attribute MNTM numeric
@attribute TPCP numeric

@data
01-2000,48.75,517.09
02-2000,50.13,776.02
03-2000,52.48,200.9
04-2000,59.07,174.44
05-2000,63.97,91.33
06-2000,71.0,26.01
07-2000,71.53,2.99
08-2000,73.7,12.93
09-2000,68.93,35.37
10-2000,60.01,227.22
11-2000,48.79,69.71
12-2000,48.93,64.48
01-2001,45.17,376.62
02-2001,46.34,502.2
03-2001,54.68,202.93
04-2001,53.95,169.45
05-2001,67.91,6.6
06-2001,70.25,20.03
07-2001,72.04,13.26
08-2001,73.4,2.46
09-2001,69.88,20.04
10-2001,64.13,54.24
11-2001,54.13,399.09
12-2001,46.36,555.51
01-2002,45.32,216.24
02-2002,50.47,142.25
03-2002,51.1,213.03
04-2002,57.06,68.71
05-2002,61.35,63.16
06-2002,68.95,3.8
07-2002,74.08,2.95
08-2002,72.13,0.8
09-2002,70.06,6.9
10-2002,60.05,3.1
11-2002,54.72,310.89
12-2002,47.45,856.85
01-2003,52.2,170.92
02-2003,48.55,278.4
03-2003,53.84,257.22
04-2003,52.35,377.88
05-2003,62.05,102.9
06-2003,69.39,3.76
07-2003,75.79,14.83
08-2003,73.56,48.9
09-2003,71.58,11.68
10-2003,65.57,8.89
11-2003,49.81,206.59
12-2003,47.34,572.83
01-2004,46.24,221.71
02-2004,47.4,578.37
03-2004,58.11,95.59
04-2004,58.87,55.02
05-2004,63.65,29.16
06-2004,69.22,5.01
07-2004,73.48,2.27
08-2004,72.99,8.29
09-2004,69.56,15.19
10-2004,59.58,425.16
11-2004,50.16,149.2
12-2004,47.1,552.45
01-2005,46.39,574.84
02-2005,50.15,461.82
03-2005,53.5,385.74
04-2005,55.08,159.81
05-2005,62.4,226.81
06-2005,65.71,62.24
07-2005,75.56,10.12
08-2005,73.53,16.39
09-2005,65.83,22.78
10-2005,60.69,89.24
11-2005,54.54,190.76
12-2005,48.91,790.65
01-2006,47.37,414.34
02-2006,49.72,278.02
03-2006,45.84,628.09
04-2006,54.47,442.24
05-2006,64.03,75.03
06-2006,71.2,11.56
07-2006,76.95,7.27
08-2006,71.3,3.98
09-2006,68.41,4.57
10-2006,59.69,36.07
11-2006,53.54,182.84
12-2006,46.6,291.1
01-2007,44.11,73.1
02-2007,49.06,429.76
03-2007,55.57,62.53
04-2007,56.83,125.36
05-2007,63.03,32.7
06-2007,69.04,8.42
07-2007,74.31,13.57
08-2007,73.91,8.77
09-2007,67.36,46.34
10-2007,60.01,138.52
11-2007,54.81,71.14
12-2007,44.32,307.61
01-2008,44.02,735.21
02-2008,47.59,295.73
03-2008,52.72,47.2
04-2008,56.17,21.3
05-2008,62.15,42.86
06-2008,69.79,1.68
07-2008,73.92,8.77
08-2008,74.58,5.98
09-2008,70.38,3.33
10-2008,62.55,65.51
11-2008,55.71,231.81
12-2008,44.53,279.66
01-2009,48.72,122.6
02-2009,47.69,527.47
03-2009,51.19,203.63
04-2009,56.08,53.76
05-2009,66.1,115.61
06-2009,67.18,41.31
07-2009,74.86,5.04
08-2009,73.62,7.57
09-2009,72.26,12.48
10-2009,59.84,228.65
11-2009,52.85,76.86
12-2009,44.39,316.59
01-2010,47.53,644.69
02-2010,49.15,375.17
03-2010,51.36,203.98
04-2010,52.93,325.89
05-2010,58.01,94.48
06-2010,68.28,17.26
07-2010,73.17,5.61
08-2010,71.73,6.34
09-2010,69.82,9.22
10-2010,61.94,276.14
11-2010,51.43,263.07
12-2010,48.54,795.16
01-2011,47.57,121.38
02-2011,47.07,292.81
03-2011,51.98,566.17
04-2011,56.9,72.69
05-2011,59.54,103.74
06-2011,67.73,91.44
07-2011,73.31,14.88
08-2011,74.28,7.26
09-2011,72.02,18.69
10-2011,63.05,134.4
11-2011,50.65,154.27
12-2011,45.23,40.77
01-2012,48.71,236.71
02-2012,49.08,106.67
03-2012,51.4,407.63
04-2012,57.52,219.68
05-2012,64.22,10.58
06-2012,68.99,20.09
07-2012,72.66,19.94
08-2012,75.72,23.36
09-2012,71.91,5.23
10-2012,63.73,75.01
11-2012,55.02,308.54
12-2012,46.6,553.79
01-2013,44.38,96.88
02-2013,47.58,55.94
03-2013,55.23,115.09
04-2013,59.61,52.87
05-2013,64.49,46.08
06-2013,70.94,32.37
07-2013,75.46,16.78
08-2013,72.91,19.7
09-2013,69.6,56.9
10-2013,59.97,25.35
11-2013,53.98,86.61
12-2013,45.63,42.1
01-2014,51.49,42.14
02-2014,51.61,422.04
03-2014,55.67,270.57
04-2014,58.77,108.16
05-2014,65.41,24.2
06-2014,70.53,3.15
