@relation state

@attribute timestamp DATE "MM-yyyy"
@attribute MNTM numeric
@attribute TPCP numeric

@data
01-2000,21.44,68.54
02-2000,31.9,134.76
03-2000,42.52,99.53
04-2000,49.06,209.71
05-2000,62.71,365.17
06-2000,67.79,678.27
07-2000,72.31,403.04
08-2000,72.92,266.23
09-2000,64.61,220.1
10-2000,54.82,179.52
11-2000,32.14,207.8
12-2000,9.92,165.04
01-2001,20.45,139.03
02-2001,17.58,211.75
03-2001,29.78,127.89
04-2001,52.34,363.79
05-2001,60.94,710.38
06-2001,68.35,401.13
07-2001,75.18,327.45
08-2001,72.74,287.18
09-2001,61.24,411.37
10-2001,50.1,249.54
11-2001,47.77,157.06
12-2001,30.56,87.94
01-2002,28.37,38.49
02-2002,28.54,86.5
03-2002,29.88,114.37
04-2002,48.67,354.46
05-2002,56.97,415.25
06-2002,72.46,350.57
07-2002,76.62,420.45
08-2002,71.2,596.28
09-2002,65.57,167.84
10-2002,46.27,361.08
11-2002,34.3,21.81
12-2002,28.51,22.29
01-2003,18.85,37.88
02-2003,19.81,80.89
03-2003,34.7,116.43
04-2003,50.28,325.96
05-2003,58.01,459.85
06-2003,67.31,439.86
07-2003,73.14,420.19
08-2003,74.39,101.49
09-2003,61.32,314.49
10-2003,52.27,99.23
11-2003,35.7,352.9
12-2003,27.97,129.09
01-2004,17.34,92.1
02-2004,22.15,112.25
03-2004,40.27,372.91
04-2004,50.83,185.68
05-2004,60.63,771.34
06-2004,66.99,353.04
07-2004,70.58,412.56
08-2004,66.5,450.4
09-2004,66.39,275.59
10-2004,51.85,197.45
11-2004,40.36,224.1
12-2004,26.26,57.04
01-2005,18.4,129.66
02-2005,30.53,152.32
03-2005,35.37,98.57
04-2005,52.8,354.83
05-2005,57.57,383.99
06-2005,72.66,533.81
07-2005,74.72,320.64
08-2005,71.64,316.36
09-2005,67.54,338.12
10-2005,52.54,91.85
11-2005,39.29,184.93
12-2005,19.26,114.29
01-2006,31.93,97.58
02-2006,24.37,31.89
03-2006,35.92,316.55
04-2006,53.27,431.13
05-2006,60.52,238.9
06-2006,70.03,250.96
07-2006,76.03,327.63
08-2006,72.23,560.11
09-2006,59.91,421.58
10-2006,47.86,170.79
11-2006,39.19,182.17
12-2006,30.9,207.74
01-2007,21.25,87.59
02-2007,14.96,169.88
03-2007,41.24,280.59
04-2007,46.32,465.71
05-2007,64.8,517.75
06-2007,70.45,356.33
07-2007,73.73,357.09
08-2007,74.32,974.07
09-2007,64.66,288.84
10-2007,55.83,494.11
11-2007,37.02,20.38
12-2007,20.06,248.7
01-2008,15.98,66.16
02-2008,16.25,177.12
03-2008,31.83,127.03
04-2008,45.67,584.0
05-2008,57.3,592.16
06-2008,69.38,876.93
07-2008,73.21,598.45
08-2008,70.0,193.91
09-2008,63.52,422.22
10-2008,50.62,326.09
11-2008,37.08,170.39
12-2008,17.26,198.39
01-2009,12.62,69.94
02-2009,26.0,81.53
03-2009,36.62,311.9
04-2009,46.57,367.76
05-2009,59.79,369.28
06-2009,68.96,526.95
07-2009,67.96,472.99
08-2009,68.44,607.76
09-2009,63.33,170.59
10-2009,44.77,644.42
11-2009,43.17,122.17
12-2009,19.5,262.57
01-2010,13.05,130.89
02-2010,16.6,100.5
03-2010,37.8,171.82
04-2010,54.64,371.91
05-2010,59.76,405.83
06-2010,70.8,1031.12
07-2010,74.58,822.72
08-2010,74.49,489.07
09-2010,62.95,553.23
10-2010,53.75,101.68
11-2010,37.69,166.22
12-2010,18.44,133.52
01-2011,13.99,95.89
02-2011,21.6,141.78
03-2011,34.11,152.06
04-2011,46.98,378.89
05-2011,58.98,493.73
06-2011,69.53,607.88
07-2011,77.98,374.84
08-2011,72.11,309.9
09-2011,60.18,167.77
10-2011,53.27,83.05
11-2011,39.12,219.4
12-2011,28.75,205.87
01-2012,25.83,60.23
02-2012,28.78,157.45
03-2012,50.92,188.83
04-2012,51.93,387.55
05-2012,64.92,368.58
06-2012,71.43,277.6
07-2012,79.55,121.03
08-2012,71.08,287.7
09-2012,61.97,161.39
10-2012,48.55,292.04
11-2012,38.8,106.4
12-2012,27.33,151.57
01-2013,21.35,95.82
02-2013,23.4,125.95
03-2013,28.27,203.52
04-2013,43.23,654.02
05-2013,58.99,853.44
06-2013,68.87,490.0
07-2013,72.35,170.84
08-2013,71.95,164.21
09-2013,66.81,194.75
10-2013,50.34,284.31
11-2013,33.49,159.0
12-2013,16.93,60.26
01-2014,13.5,44.81
02-2014,12.43,145.58
03-2014,28.99,78.92
04-2014,47.08,453.12
05-2014,59.96,318.54
06-2014,70.18,1000.37
