@relation state

@attribute timestamp DATE "MM-yyyy"
@attribute MNTM numeric
@attribute TPCP numeric

@data
01-2000,20.84,314.99
02-2000,27.27,255.42
03-2000,39.1,299.48
04-2000,43.84,493.97
05-2000,57.52,541.93
06-2000,64.93,538.59
07-2000,66.06,453.4
08-2000,66.77,397.25
09-2000,59.84,380.74
10-2000,50.01,214.76
11-2000,37.74,271.93
12-2000,21.43,333.9
01-2001,24.39,175.95
02-2001,26.32,206.83
03-2001,29.45,511.23
04-2001,46.02,122.48
05-2001,58.06,291.23
06-2001,66.2,439.19
07-2001,67.17,235.57
08-2001,71.54,290.35
09-2001,60.88,396.88
10-2001,51.56,212.37
11-2001,44.65,205.37
12-2001,35.09,257.28
01-2002,30.7,219.06
02-2002,30.73,205.46
03-2002,34.8,324.47
04-2002,47.46,392.39
05-2002,52.8,514.79
06-2002,65.96,520.98
07-2002,71.55,189.73
08-2002,70.71,301.09
09-2002,64.55,457.76
10-2002,47.82,438.82
11-2002,37.64,390.58
12-2002,26.49,375.11
01-2003,16.59,246.26
02-2003,20.02,266.55
03-2003,33.39,290.3
04-2003,42.93,268.56
05-2003,54.99,448.76
06-2003,63.9,482.41
07-2003,69.59,454.71
08-2003,70.79,459.2
09-2003,62.05,525.97
10-2003,47.6,497.22
11-2003,42.31,422.48
12-2003,29.32,426.23
01-2004,15.19,222.22
02-2004,23.64,159.41
03-2004,36.23,247.7
04-2004,45.61,400.48
05-2004,59.79,513.98
06-2004,63.6,286.51
07-2004,68.8,623.28
08-2004,67.37,557.41
09-2004,63.44,605.55
10-2004,49.85,215.09
11-2004,40.62,327.59
12-2004,28.14,384.91
01-2005,20.9,390.14
02-2005,25.99,217.21
03-2005,29.18,296.82
04-2005,47.22,449.91
05-2005,52.4,162.99
06-2005,70.12,350.9
07-2005,72.48,380.51
08-2005,71.96,372.4
09-2005,64.89,355.24
10-2005,51.17,895.03
11-2005,42.43,455.69
12-2005,25.84,280.22
01-2006,32.12,401.7
02-2006,26.86,199.73
03-2006,33.41,170.2
04-2006,47.41,343.27
05-2006,57.03,366.7
06-2006,65.9,690.73
07-2006,72.59,534.93
08-2006,68.71,427.09
09-2006,59.74,444.0
10-2006,48.45,608.57
11-2006,44.03,362.73
12-2006,36.34,305.81
01-2007,27.7,371.77
02-2007,18.15,231.32
03-2007,32.34,370.93
04-2007,42.46,536.58
05-2007,57.47,184.82
06-2007,66.96,312.3
07-2007,68.38,482.74
08-2007,69.47,271.74
09-2007,63.55,303.42
10-2007,56.57,463.77
11-2007,37.83,393.41
12-2007,28.04,462.27
01-2008,27.63,200.02
02-2008,25.22,523.58
03-2008,31.48,492.95
04-2008,49.59,276.75
05-2008,53.21,233.7
06-2008,68.18,434.62
07-2008,70.72,542.91
08-2008,66.65,409.3
09-2008,62.4,384.11
10-2008,48.12,456.81
11-2008,38.55,277.21
12-2008,28.73,536.98
01-2009,17.33,261.94
02-2009,26.52,154.28
03-2009,34.29,281.64
04-2009,47.06,266.76
05-2009,56.54,445.1
06-2009,63.36,557.01
07-2009,66.63,537.43
08-2009,69.69,490.8
09-2009,60.04,248.2
10-2009,47.65,444.88
11-2009,43.42,206.51
12-2009,27.15,405.28
01-2010,23.51,240.96
02-2010,25.35,313.8
03-2010,39.37,440.48
04-2010,50.39,218.75
05-2010,59.93,260.17
06-2010,66.94,507.28
07-2010,73.11,393.71
08-2010,69.81,420.66
09-2010,62.39,312.82
10-2010,50.24,634.21
11-2010,39.57,274.57
12-2010,24.99,341.17
01-2011,19.88,226.03
02-2011,22.66,347.19
03-2011,32.06,453.39
04-2011,45.77,655.79
05-2011,58.92,571.89
06-2011,66.29,401.91
07-2011,72.56,242.51
08-2011,68.61,774.38
09-2011,63.83,675.19
10-2011,50.62,455.44
11-2011,44.17,286.18
12-2011,33.28,327.3
01-2012,27.55,314.26
02-2012,30.76,121.1
03-2012,44.16,191.95
04-2012,44.73,281.9
05-2012,61.39,396.0
06-2012,65.63,341.77
07-2012,72.48,322.37
08-2012,69.65,319.13
09-2012,61.12,478.17
10-2012,51.9,476.07
11-2012,37.2,113.88
12-2012,33.18,511.17
01-2013,26.0,206.29
02-2013,24.42,250.24
03-2013,31.51,176.5
04-2013,44.57,302.35
05-2013,58.2,428.05
06-2013,65.21,703.83
07-2013,72.31,430.66
08-2013,67.07,379.01
09-2013,59.44,338.45
10-2013,52.0,291.58
11-2013,35.9,355.61
12-2013,27.61,370.03
01-2014,18.28,244.34
02-2014,19.78,299.46
03-2014,25.13,302.95
04-2014,44.37,336.05
05-2014,57.57,453.63
06-2014,66.08,460.22
