@relation state

@attribute timestamp DATE "MM-yyyy"
@attribute MNTM numeric
@attribute TPCP numeric

@data
01-2000,51.24,124.15
02-2000,57.13,112.71
03-2000,61.75,268.52
04-2000,66.25,211.33
05-2000,76.93,353.79
06-2000,78.98,531.11
07-2000,84.32,66.63
08-2000,84.66,55.57
09-2000,78.68,124.32
10-2000,67.62,402.01
11-2000,51.79,559.52
12-2000,42.53,194.43
01-2001,44.21,262.01
02-2001,52.26,221.92
03-2001,53.26,354.03
04-2001,68.17,85.58
05-2001,74.34,321.23
06-2001,80.94,311.46
07-2001,85.24,101.69
08-2001,83.34,412.52
09-2001,75.27,353.1
10-2001,65.72,196.49
11-2001,59.47,363.26
12-2001,49.95,265.84
01-2002,49.14,108.4
02-2002,47.52,110.25
03-2002,55.52,220.73
04-2002,69.45,199.35
05-2002,74.36,208.04
06-2002,80.62,265.48
07-2002,81.3,485.02
08-2002,83.22,195.81
09-2002,76.76,343.27
10-2002,65.74,672.61
11-2002,53.55,212.18
12-2002,48.44,371.33
01-2003,46.22,72.41
02-2003,48.45,268.52
03-2003,57.12,123.17
04-2003,66.83,85.84
05-2003,76.06,151.81
06-2003,78.74,477.92
07-2003,82.49,261.09
08-2003,83.31,221.62
09-2003,74.61,482.15
10-2003,67.89,284.74
11-2003,58.75,173.25
12-2003,49.43,86.35
01-2004,49.13,243.65
02-2004,47.36,316.86
03-2004,61.99,232.98
04-2004,64.82,424.95
05-2004,73.92,289.04
06-2004,78.9,726.06
07-2004,80.99,245.12
08-2004,79.81,310.46
09-2004,75.97,240.38
10-2004,70.61,423.5
11-2004,56.62,694.46
12-2004,47.73,93.86
01-2005,50.82,203.0
02-2005,52.02,267.5
03-2005,56.69,207.22
04-2005,64.61,77.23
05-2005,71.93,283.32
06-2005,80.81,121.16
07-2005,82.84,316.5
08-2005,81.99,335.29
09-2005,80.54,169.18
10-2005,67.06,209.23
11-2005,59.5,94.06
12-2005,47.53,55.06
01-2006,53.06,117.92
02-2006,50.11,128.75
03-2006,61.43,224.05
04-2006,71.1,159.66
05-2006,75.75,245.22
06-2006,80.81,237.79
07-2006,83.51,281.36
08-2006,84.81,204.08
09-2006,75.04,362.55
10-2006,67.66,439.73
11-2006,58.67,89.26
12-2006,48.97,279.27
01-2007,43.22,423.57
02-2007,49.43,61.11
03-2007,62.26,483.71
04-2007,62.05,237.19
05-2007,72.07,572.1
06-2007,78.34,572.71
07-2007,79.44,667.57
08-2007,82.33,315.38
09-2007,77.88,289.61
10-2007,69.26,132.77
11-2007,58.44,149.07
12-2007,50.24,133.72
01-2008,46.43,129.94
02-2008,53.63,125.89
03-2008,58.74,264.91
04-2008,65.75,210.59
05-2008,74.65,246.27
06-2008,83.09,198.98
07-2008,82.19,262.23
08-2008,81.41,481.92
09-2008,74.07,299.65
10-2008,66.08,217.94
11-2008,57.68,130.75
12-2008,48.76,62.27
01-2009,48.52,42.23
02-2009,56.11,73.65
03-2009,59.43,251.47
04-2009,65.12,344.92
05-2009,73.95,250.88
06-2009,82.12,182.74
07-2009,84.56,296.98
08-2009,83.74,168.01
09-2009,74.86,466.51
10-2009,64.88,630.79
11-2009,57.94,166.56
12-2009,43.52,267.35
01-2010,44.61,261.87
02-2010,43.93,300.27
03-2010,54.98,207.46
04-2010,65.35,280.11
05-2010,74.21,240.65
06-2010,82.75,310.73
07-2010,81.78,545.97
08-2010,84.84,119.74
09-2010,78.14,553.22
10-2010,67.56,79.13
11-2010,57.25,122.03
12-2010,49.44,87.64
01-2011,44.99,187.11
02-2011,49.03,78.9
03-2011,61.63,33.36
04-2011,70.31,86.87
05-2011,74.12,171.71
06-2011,85.04,117.0
07-2011,87.06,82.14
08-2011,88.44,75.33
09-2011,78.35,119.64
10-2011,67.51,235.68
11-2011,57.66,145.39
12-2011,46.98,307.04
01-2012,50.71,252.95
02-2012,52.03,269.5
03-2012,63.4,334.91
04-2012,70.16,147.04
05-2012,75.68,298.45
06-2012,82.18,203.13
07-2012,83.58,293.98
08-2012,83.95,197.2
09-2012,77.2,403.45
10-2012,66.52,84.44
11-2012,59.32,35.77
12-2012,51.82,115.1
01-2013,48.23,266.31
02-2013,51.97,135.62
03-2013,56.74,74.26
04-2013,62.98,216.05
05-2013,72.54,266.14
06-2013,81.77,238.87
07-2013,81.58,302.31
08-2013,83.53,151.88
09-2013,78.78,430.41
10-2013,67.21,370.39
11-2013,53.1,205.83
12-2013,45.02,148.84
01-2014,44.42,49.74
02-2014,47.87,90.77
03-2014,54.4,128.56
04-2014,65.34,108.45
05-2014,71.82,467.16
06-2014,80.37,329.3
